735,42,779,42,779,92,735,92,R
158,254,755,254,755,297,158,297,KEDAI PAPAN YEW CHUAN
331,299,582,299,582,336,331,336,(0005583085-K)
252,348,660,348,660,381,252,381,LOT 276 JALAN BANTING
226,396,694,396,694,430,226,430,43800 DENGKIL, SELANGOR.
141,467,437,467,437,502,141,502,TEL : 03-87686092
477,470,776,470,776,503,477,503,FAX : 03-87686092
267,520,641,520,641,554,267,554,GST ID : 000781500416
336,578,573,578,573,614,336,614,TAX INVOICE
40,621,149,621,149,655,40,655,BILL TO :
42,674,556,674,556,707,42,707,SUCI ALAM JAYA TRANSPORT
42,718,370,718,370,749,42,749,NO 1 JALAN AMAN 2
38,759,364,759,364,793,38,793,TAMAN DESA 43800
40,808,390,808,390,844,40,844,DENGKIL SELANGOR
42,855,243,855,243,888,42,888,017-6057770
42,899,164,899,164,934,42,934,DOC NO.
252,903,486,903,486,936,252,936,: CS00010702
600,905,871,905,871,939,600,939,DATE: 12/03/2018
39,950,161,950,161,982,39,982,CASHIER
252,954,381,954,381,985,252,985,: USER
591,951,833,951,833,990,591,990,TIME: 09:20:00
42,1002,266,1002,266,1037,42,1037,SALESPERSON :
608,1001,681,1001,681,1039,608,1039,REF.:
40,1107,103,1107,103,1134,40,1134,ITEM
281,1109,336,1109,336,1144,281,1144,QTY
382,1108,486,1108,486,1140,382,1140,S/PRICE
523,1075,608,1075,608,1110,523,1110,(GST)
698,1077,778,1077,778,1111,698,1111,(GST)
824,1108,880,1108,880,1143,824,1143,TAX
41,1147,140,1147,140,1174,41,1174,101869
297,1148,318,1148,318,1184,297,1184,2
393,1151,474,1151,474,1180,393,1180,60.00
528,1151,606,1151,606,1182,528,1182,63.60
692,1153,783,1153,783,1180,692,1180,127.20
836,1152,879,1152,879,1182,836,1182,SR
40,1194,284,1194,284,1226,40,1226,PASIR KASAR (D)
43,1249,136,1249,136,1275,43,1275,101871
297,1248,325,1248,325,1274,297,1274,1
393,1250,474,1250,474,1276,393,1276,65.00
529,1253,609,1253,609,1280,529,1280,68.90
707,1253,784,1253,784,1280,707,1280,68.90
837,1250,876,1250,876,1284,837,1284,SR
37,1295,221,1295,221,1330,37,1330,BATU 3/4 (D)
42,1350,143,1350,143,1379,42,1379,101756
299,1349,321,1349,321,1375,299,1375,5
397,1351,472,1351,472,1380,397,1380,16.50
529,1349,604,1349,604,1381,529,1381,17.49
706,1352,786,1352,786,1383,706,1383,87.45
837,1352,884,1352,884,1385,837,1385,SR
38,1394,136,1394,136,1423,38,1423,SIMEN
79,1443,228,1443,228,1481,79,1481,TOTAL QTY:
289,1440,325,1440,325,1474,289,1474,8
680,1447,788,1447,788,1480,680,1480,283.55
162,1521,614,1521,614,1562,162,1562,TOTAL SALES (EXCLUDING GST) :
680,1528,789,1528,789,1559,680,1559,267.50
449,1582,611,1582,611,1615,449,1615,DISCOUNT :
718,1585,790,1585,790,1616,718,1616,0.00
427,1636,613,1636,613,1675,427,1675,TOTAL GST :
705,1641,790,1641,790,1673,705,1673,16.05
438,1696,618,1696,618,1735,438,1735,ROUNDING :
720,1699,789,1699,789,1732,720,1732,0.00
97,1755,614,1755,614,1794,97,1794,TOTAL SALES (INCLUSIVE OF GST) :
681,1759,792,1759,792,1790,681,1790,283.55
484,1816,613,1816,613,1851,484,1851,CASH :
681,1816,786,1816,786,1848,681,1848,300.00
450,1860,613,1860,613,1899,450,1899,CHANGE :
703,1863,788,1863,788,1894,703,1894,16.45
101,1959,359,1959,359,1995,101,1995,GST SUMMARY
106,2016,259,2016,259,2051,106,2051,TAX CODE
353,2018,382,2018,382,2051,353,2051,%
469,2019,624,2019,624,2052,469,2052,AMT (RM)
697,2021,842,2021,842,2058,697,2058,TAX (RM)
108,2059,156,2059,156,2090,108,2090,SR
354,2061,380,2061,380,2092,354,2092,6
518,2063,625,2063,625,2093,518,2093,267.50
758,2064,844,2064,844,2094,758,2094,16.05
298,2109,404,2109,404,2143,298,2143,TOTAL :
515,2110,621,2110,621,2144,515,2144,267.50
757,2113,844,2113,844,2145,757,2145,16.05
93,2196,821,2196,821,2233,93,2233,GOODS SOLD ARE NOT RETURNABLE, THANK YOU.
517,1108,616,1108,616,1139,517,1139,S/PRICE
668,1108,783,1108,783,1140,668,1140,AMOUNT
