91,191,634,191,634,224,91,224,FISH FARM THAI RESTAURANT
85,237,640,237,640,273,85,273,VEG FISH FARM THAI RESTAURANT S/B
216,281,512,281,512,307,216,307,COMP REG NO. 928627-V
134,318,590,318,590,350,134,350,KM 4, JIN AMPANG, HULU LANGAT,
178,361,547,361,547,394,178,394,68000 AMAPNG, SELANGOR.
129,404,597,404,597,430,129,430,+6012-260 6493 OR +6012-286 8193
224,454,503,454,503,485,224,485,***TAX INVOICE***
142,503,586,503,586,540,142,540,GST REG. NO.: 0009 3395 3536
276,546,451,546,451,572,276,572,(DUPLICATED)
53,582,253,582,253,610,53,610,INV NO.: 36173
276,583,648,583,648,608,276,608,PRINTED: 01/05/2018 6:33:22
56,619,280,619,280,647,56,647,STATUS: CLOSED
394,621,646,621,646,648,394,648,01/05/2018 6:33:22
54,666,137,666,137,694,54,694,TABLE
262,671,320,671,320,706,262,706,40
375,667,443,667,443,695,375,695,PAX.
469,668,487,668,487,693,469,693,6
56,707,253,707,253,739,56,739,CASHIER: JAM01
392,709,642,709,642,736,392,736,01/05/2018 2:30:10
66,756,106,756,106,787,66,787,QTY
117,756,277,756,277,781,117,781,PRODUCT CODE
118,794,250,794,250,824,118,824,DESCRIPTION
315,757,407,757,407,780,315,780,UNIT RM
428,757,708,757,708,781,428,781,SUBTOTAL RM & TAX CODE
54,864,69,864,69,889,54,889,1
118,850,162,850,162,870,118,870,A3B
372,849,429,849,429,873,372,873,80.00
553,850,609,850,609,876,553,876,80.00
638,852,672,852,672,875,638,875,SR
117,890,540,890,540,921,117,921,FRIED KAMPUNG CHICKEN (1 EKOR)
55,949,71,949,71,975,55,975,1
117,936,143,936,143,960,117,960,F1
372,938,429,938,429,962,372,962,40.00
549,938,608,938,608,963,549,963,40.00
637,937,672,937,672,963,637,963,SR
117,977,463,977,463,1009,117,1009,TOMYAM SEAFOOD (MERAH)
54,1034,68,1034,68,1062,54,1062,1
117,1024,168,1024,168,1047,117,1047,FJ3B
370,1025,429,1025,429,1048,370,1048,20.00
551,1025,610,1025,610,1049,551,1049,20.00
637,1025,673,1025,673,1048,637,1048,SR
115,1065,429,1065,429,1094,115,1094,WATERMELON JUICE (BIG)
54,1122,70,1122,70,1147,54,1147,1
117,1110,168,1110,168,1131,117,1131,FJ5B
370,1111,429,1111,429,1135,370,1135,20.00
551,1110,608,1110,608,1135,551,1135,20.00
635,1112,671,1112,671,1135,635,1135,SR
117,1149,360,1149,360,1179,117,1179,ORANGE JUICE (BIG)
56,1208,70,1208,70,1235,56,1235,1
117,1195,157,1195,157,1218,117,1218,L1B
370,1194,429,1194,429,1220,370,1220,21.00
548,1194,609,1194,609,1221,548,1221,21.00
638,1196,671,1196,671,1220,638,1220,SR
116,1238,365,1238,365,1266,116,1266,LALA CHILI PASTE (B)
54,1293,71,1293,71,1317,54,1317,6
117,1283,146,1283,146,1304,117,1304,N5
383,1282,428,1282,428,1306,383,1306,2.50
554,1283,608,1283,608,1306,554,1306,15.00
638,1283,671,1283,671,1306,638,1306,SR
118,1322,253,1322,253,1346,118,1346,NASI PUTIH
54,1377,70,1377,70,1405,54,1405,1
118,1367,148,1367,148,1388,118,1388,Q1
372,1366,428,1366,428,1391,372,1391,84.00
551,1367,608,1367,608,1392,551,1392,84.00
637,1370,671,1370,671,1393,637,1393,SR
119,1408,279,1408,279,1434,119,1434,BBQ TALAPIA
54,1464,68,1464,68,1490,54,1490,1
118,1453,144,1453,144,1474,118,1474,S6
373,1454,429,1454,429,1476,373,1476,36.00
551,1456,608,1456,608,1479,551,1479,36.00
638,1455,671,1455,671,1477,638,1477,SR
119,1492,468,1492,468,1517,119,1517,SOTONG STEAM LIME SAUCE
54,1549,68,1549,68,1575,54,1575,1
117,1536,186,1536,186,1559,117,1559,SKB2B
371,1537,431,1537,431,1561,371,1561,15.00
553,1536,609,1536,609,1562,553,1562,15.00
638,1539,674,1539,674,1563,638,1563,SR
117,1575,446,1575,446,1608,117,1608,KACANG BOTOL B.PUTIH (B)
56,1631,69,1631,69,1659,56,1659,1
117,1620,158,1620,158,1643,117,1643,T2B
372,1623,429,1623,429,1647,372,1647,12.00
554,1624,608,1624,608,1647,554,1647,12.00
639,1625,674,1625,674,1647,639,1647,SR
