1898,1489,3016,1489,3016,1588,1898,1588,TRIPLE SIX POINT ENTERPRISE 666
1640,1582,3246,1582,3246,1672,1640,1672,NO 14& 16 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAY
2183,1670,2744,1670,2744,1740,2183,1740,TEL:016-7574666
2125,1751,2802,1751,2802,1823,2125,1823,RECEIPT NO: REC-0016614
1999,1821,2932,1821,2932,1895,1999,1895,DATE: 23-04-2018 06:29:01 PM
2155,1905,2782,1905,2782,1993,2155,1993,PAYMENT TYPE: CASH
2305,2001,2635,2001,2635,2103,2305,2103,RECEIPT
2093,2115,2846,2115,2846,2183,2093,2183,(RECEIPT NO.: REC-0016614)
1584,2195,1886,2195,1886,2257,1584,2257,QTY ITEM
2492,2179,2672,2179,2672,2239,2492,2239,PRICE
2772,2181,2970,2181,2970,2235,2772,2235,TOTAL
1592,2371,1694,2371,1694,2443,1592,2443,24
2498,2357,2662,2357,2662,2431,2498,2431,4.30
2748,2349,2962,2349,2962,2423,2748,2423,96.00
1588,2480,1640,2480,1640,2536,1588,2536,X
1749,2464,2208,2464,2208,2550,1749,2550,JAPAN GREEN
1747,2555,2138,2555,2138,2625,1747,2625,TEA 580ML
1745,2654,2274,2654,2274,2754,1745,2754,(DISC: 7.2000)
1597,2800,1694,2800,1694,2875,1597,2875,1X
1753,2786,2322,2786,2322,2871,1753,2871,HWA TAI LUXURY
2498,2778,2670,2778,2670,2854,2498,2854,3.90
2792,2773,2964,2773,2964,2848,2792,2848,3.90
1752,2885,2223,2885,2223,2960,1752,2960,COKLAT CREAM
1602,3030,1694,3030,1694,3098,1602,3098,1X
1754,3020,2321,3020,2321,3099,1754,3099,HWA TAI LUXURY
2501,3007,2674,3007,2674,3080,2501,3080,3.90
2798,3004,2964,3004,2964,3078,2798,3078,3.90
1752,3111,2053,3111,2053,3204,1752,3204,PEANUTS
1751,3205,2027,3205,2027,3281,1751,3281,CRACKER
1598,3351,1696,3351,1696,3423,1598,3423,2X
1754,3340,2331,3340,2331,3425,1754,3425,HWA TAI LUXURY
2506,3333,2674,3333,2674,3409,2506,3409,3.90
2800,3329,2964,3329,2964,3399,2800,3399,7.80
1756,3441,2237,3441,2237,3516,1756,3516,LEMON CREAM
1602,3583,1698,3583,1698,3655,1602,3655,1X
1755,3569,2228,3569,2228,3647,1755,3647,BENTO SWEET
2464,3563,2680,3563,2680,3639,2464,3639,12.90
2758,3561,2976,3561,2976,3633,2758,3633,12.90
1761,3669,1967,3669,1967,3763,1761,3763,SPICY
1608,3812,1700,3812,1700,3884,1608,3884,1X
2464,3793,2680,3793,2680,3865,2464,3865,30.90
2758,3783,2972,3783,2972,3863,2758,3863,30.90
1759,3896,2025,3896,2025,3974,1759,3974,20BARS
1608,4042,1704,4042,1704,4110,1608,4110,1X
1753,4026,2268,4026,2268,4116,1753,4116,YEOS SOYA 1L
2510,4020,2680,4020,2680,4096,2510,4096,2.50
2804,4014,2976,4014,2976,4094,2804,4094,2.50
1753,4182,2037,4182,2037,4254,1753,4254,DISCOUNT
2840,4166,2982,4166,2982,4232,2840,4232,7.20
1755,4296,2264,4296,2264,4372,1755,4372,TOTAL AMOUNT
2718,4282,2978,4282,2978,4356,2718,4356,157.90
1757,4390,2110,4390,2110,4470,1757,4470,TENDERED
2716,4382,2980,4382,2980,4454,2716,4454,160.00
1759,4498,2057,4498,2057,4584,1759,4584,CHANGE
2806,4482,2974,4482,2974,4556,2806,4556,2 10
2532,2249,2674,2249,2674,2313,2532,2313,(RM)
2830,2249,2962,2249,2962,2311,2830,2311,(RM)
1745,2365,2108,2365,2108,2453,1745,2453,HEY SONG
1755,3799,2342,3799,2342,3895,1755,3895,TANGO ALMONDS
